Id,Name,Position,Team
1069535,Justin Jefferson,WR,MIN
1109979,Ja'Marr Chase,WR,CIN
823156,Tyreek Hill,WR,MIA
830517,Christian McCaffrey,RB,SF
698227,Cooper Kupp,WR,LA
448240,Travis Kelce,TE,KC
944826,A.J. Brown,WR,PHI
790004,Austin Ekeler,RB,LAC
694041,Stefon Diggs,WR,BUF
1062020,CeeDee Lamb,WR,DAL
1228244,Bijan Robinson,RB,ATL
611417,Davante Adams,WR,LV
1164889,Garrett Wilson,WR,NYJ
1127106,Amon-Ra St. Brown,WR,DET
1125749,Jaylen Waddle,WR,MIA
822857,Nick Chubb,RB,CLE
1122592,Chris Olave,WR,NO
880398,Tony Pollard,RB,DAL
839031,Patrick Mahomes,QB,KC
1060262,DeVonta Smith,WR,PHI
883302,Saquon Barkley,RB,NYG
913271,Jalen Hurts,QB,PHI
868199,Josh Allen,QB,BUF
732145,Derrick Henry,RB,TEN
978579,Tee Higgins,WR,CIN
820699,Mark Andrews,TE,BAL
1065406,Jonathan Taylor,RB,IND
884013,Calvin Ridley,WR,JAX
1174682,Rhamondre Stevenson,RB,NE
1162537,Breece Hall,RB,NYJ
877745,Lamar Jackson,QB,BAL
944416,Josh Jacobs,RB,LV
945633,DK Metcalf,WR,SEA
1214154,Jahmyr Gibbs,RB,DET
557210,Keenan Allen,WR,LAC
835749,Deebo Samuel,WR,SF
650914,Amari Cooper,WR,CLE
1178741,Drake London,WR,ATL
973935,Jerry Jeudy,WR,DEN
978577,Travis Etienne,RB,JAX
836116,Terry McLaurin,WR,WAS
1067918,Christian Watson,WR,GB
733754,Mike Williams,WR,LAC
878785,Joe Burrow,QB,CIN
560241,DeAndre Hopkins,WR,ARI
877790,DJ Moore,WR,CHI
1110681,Justin Fields,QB,CHI
820727,Joe Mixon,RB,CIN
923915,T.J. Hockenson,TE,MIN
910562,Justin Herbert,QB,LAC
973964,Najee Harris,RB,PIT
1107034,Brandon Aiyuk,WR,SF
1214087,Jaxon Smith-Njigba,WR,SEA
891115,Diontae Johnson,WR,PIT
1164402,Kenneth Walker III,RB,SEA
741314,Aaron Jones,RB,GB
865801,Christian Kirk,WR,JAX
605242,Tyler Lockett,WR,SEA
733672,George Kittle,TE,SF
835127,Chris Godwin,WR,TB
944343,Alexander Mattison,RB,MIN
593587,Mike Evans,WR,TB
911348,Michael Pittman,WR,IND
976220,Marquise Brown,WR,ARI
1214250,Jordan Addison,WR,MIN
976761,Gabe Davis,WR,BUF
1110711,Trevor Lawrence,QB,JAX
1108998,Dameon Pierce,RB,HOU
1123026,Kyle Pitts,TE,ATL
976513,J.K. Dobbins,RB,BAL
1172053,George Pickens,WR,PIT
1121878,Jahan Dotson,WR,WAS
600191,Darren Waller,TE,NYG
924261,Miles Sanders,RB,CAR
791365,Dallas Goedert,TE,PHI
1213865,Quentin Johnston,WR,LAC
976251,Cam Akers,RB,LA
1229343,Rachaad White,RB,TB
828743,Deshaun Watson,QB,CLE
1177053,Zay Flowers,WR,BAL
1131012,James Cook,RB,BUF
946739,David Montgomery,RB,DET
1172024,Treylon Burks,WR,TEN
1069808,D'Andre Swift,RB,PHI
1107881,Javonte Williams,RB,DEN
742390,James Conner,RB,ARI
607864,Brandin Cooks,WR,DAL
1106832,Isiah Pacheco,RB,KC
1128783,Elijah Moore,WR,CLE
750846,Alvin Kamara,RB,NO
973947,Tua Tagovailoa,QB,MIA
838878,Courtland Sutton,WR,DEN
1176730,Skyy Moore,WR,KC
974825,Kadarius Toney,WR,KC
1108208,Rashod Bateman,WR,BAL
824080,Dalvin Cook,RB,MIN
653699,Michael Thomas,WR,NO
1215022,Anthony Richardson,QB,IND
1107826,Antonio Gibson,RB,WAS
749185,Evan Engram,TE,JAX
591816,Dak Prescott,QB,DAL
973966,Brian Robinson,RB,WAS
1060545,AJ Dillon,RB,GB
1164530,Zach Charbonnet,RB,SEA
403308,Kirk Cousins,QB,MIN
832098,David Njoku,TE,CLE
840691,Rashaad Penny,RB,PHI
513856,Geno Smith,QB,SEA
879981,Daniel Jones,QB,NYG
742387,Tyler Boyd,WR,CIN
935104,Khalil Herbert,RB,CHI
1116662,Pat Freiermuth,TE,PIT
820734,Samaje Perine,RB,DEN
589984,Odell Beckham,WR,BAL
1175184,Jameson Williams,WR,DET
1231820,De'Von Achane,RB,MIA
880151,Jakobi Meyers,WR,LV
1074698,Nico Collins,WR,HOU
213957,Aaron Rodgers,QB,NYJ
912027,Darnell Mooney,WR,CHI
835909,JuJu Smith-Schuster,WR,NE
727837,Jared Goff,QB,DET
1176443,Jaylen Warren,RB,PIT
1173538,Rashee Rice,WR,KC
1215035,Tank Bigsby,RB,JAX
746491,Zay Jones,WR,JAX
401534,Russell Wilson,QB,DEN
837958,Allen Lazard,WR,NYJ
563824,Jerick McKinnon,RB,KC
1135513,Dalton Kincaid,TE,BUF
1176782,Jonathan Mingo,WR,CAR
1122653,Romeo Doubs,WR,GB
695311,Jamaal Williams,RB,NO
912070,Michael Gallup,WR,DAL
830523,Dalton Schultz,TE,HOU
1128085,Greg Dulcich,TE,DEN
323205,Matthew Stafford,QB,LA
879799,Kyler Murray,QB,ARI
1213799,Marvin Mims,WR,DEN
496083,Derek Carr,QB,NO
1106374,Chig Okonkwo,TE,TEN
1131198,Tyler Allgeier,RB,ATL
1121761,Brock Purdy,QB,SF
1168926,Sam LaPorta,TE,DET
884014,Damien Harris,RB,BUF
1130705,Kenneth Gainwell,RB,PHI
1107027,Alec Pierce,WR,IND
1163265,Roschon Johnson,RB,CHI
1050833,Elijah Mitchell,RB,SF
884080,Van Jefferson,WR,LA
1130270,Rondale Moore,WR,ARI
835443,D'Onta Foreman,RB,CHI
944428,Irv Smith,TE,CIN
1066765,Cole Kmet,TE,CHI
1123398,Jayden Reed,WR,GB
822008,DJ Chark,WR,CAR
606501,Raheem Mostert,RB,MIA
604176,Tyler Higbee,TE,LA
1169430,Tyjae Spears,RB,TEN
976924,Kenny Pickett,QB,PIT
838487,Gerald Everett,TE,LAC
503184,Taysom Hill,TE,NO
923412,Rashid Shaheed,WR,NO
912137,Jordan Love,QB,GB
1125737,Jerome Ford,RB,CLE
1050234,Donovan Peoples-Jones,WR,CLE
742382,Marquez Valdes-Scantling,WR,KC
916466,Devin Singletary,RB,HOU
728338,Ezekiel Elliott,RB,FA
881058,K.J. Osborn,WR,MIN
1213257,Bryce Young,QB,CAR
602241,DeVante Parker,WR,NE
834195,Jeff Wilson,RB,MIA
733643,Adam Thielen,WR,CAR
1214084,C.J. Stroud,QB,HOU
1232892,Jalin Hyatt,WR,NYG
1213867,Kendre Miller,RB,NO
884083,Dawson Knox,TE,BUF
1062047,Chuba Hubbard,RB,CAR
975387,Isaiah Hodgins,WR,NYG
841649,Hunter Renfrow,WR,LV
1110697,Zamir White,RB,LV
1059684,Desmond Ridder,QB,ATL
822013,Leonard Fournette,RB,FA
744425,Hunter Henry,TE,NE
884609,Juwan Johnson,TE,NO
1065361,Jake Ferguson,TE,DAL
821389,Curtis Samuel,WR,WAS
1179790,Luke Musgrave,TE,GB
880557,Darius Slayton,WR,NYG
861278,Tyler Conklin,TE,NYJ
881956,Hayden Hurst,TE,CAR
973945,Mac Jones,QB,NE
1110725,Justyn Ross,WR,KC
739799,Gus Edwards,RB,BAL
1125111,Isaiah Likely,TE,BAL
922026,Mecole Hardman,WR,NYJ
1232592,Michael Mayer,TE,LV
1160348,John Metchie,WR,HOU
555693,Robert Woods,WR,HOU
822644,Richie James,WR,KC
1123529,Michael Wilson,WR,ARI
836104,Parris Campbell,WR,NYG
380960,Ryan Tannehill,QB,TEN
1215077,Josh Downs,WR,IND
746613,Kareem Hunt,RB,FA
690153,Cordarrelle Patterson,RB,ATL
1168245,Sam Howell,QB,WAS
1108161,Trey McBride,TE,ARI
555358,Jimmy Garoppolo,QB,LV
1128222,Nathaniel Dell,WR,HOU
1167361,Kyren Williams,RB,LA
1106760,Tutu Atwell,WR,LA
1059576,Ty Chandler,RB,MIN
609496,Allen Robinson,WR,PIT
878371,Joshua Kelley,RB,LAC
1124664,Cedric Tillman,WR,CLE
1166545,Deonte Harty,WR,BUF
1130603,Khalil Shakir,WR,BUF
748070,Baker Mayfield,QB,TB
946094,Chase Claypool,WR,CHI
732121,Corey Davis,WR,NYJ
1173266,Evan Hull,RB,IND
1164875,Wan'Dale Robinson,WR,NYG
1049263,Cade Otton,TE,TB
1162128,Puka Nacua,WR,LA
836152,Mike Gesicki,TE,NE
503177,Zach Ertz,TE,ARI
923911,Noah Fant,TE,SEA
975503,Jelani Woods,TE,IND
949134,Quez Watkins,WR,PHI
1059612,Joshua Palmer,WR,LAC
976329,Michael Carter,RB,NYJ
976650,Clyde Edwards-Helaire,RB,KC
910852,Greg Dortch,WR,ARI
877807,Ke'Shawn Vaughn,RB,TB
1123379,Chase Brown,RB,CIN
975028,Malik Davis,RB,DAL
1227717,DeWayne McBride,RB,MIN
1215792,Zach Evans,RB,LA
1109285,Terrace Marshall,WR,CAR
749968,Durham Smythe,TE,MIA
507528,Logan Thomas,TE,WAS
1050335,Pierre Strong,RB,NE
702808,Mack Hollins,WR,ATL
1161190,Kevin Harris,RB,NE
1125882,Keaontay Ingram,RB,ARI
1163866,Zonovan Knight,RB,NYJ
820866,Braxton Berrios,WR,MIA
754412,Kendrick Bourne,WR,NE
999991,JaMycal Hasty,RB,JAX
999992,Charlie Jones,RB,CIN
999993,Kalif Raymond,WR,DET
999994,Justin Jackson,RB,DET
999995,Deonte Harty,WR,BUF
999996,Parris Campbell,WR,NYG
999997,Olamide Zaccheaus,WR,ATL
999998,Daniel Bellinger,TE,NYG
999999,Boston Scott,RB,PHI
999919,James Robinson,RB,NYG
999929,Darrell Henderson,RB,NA
999939,Brenton Strange,TE,JAX
999949,Tim Patrick,WR,DEN
999959,Tyquan Thornton,WR,NE
999969,Cole Beasley,WR,NYG
