2024-02-16 20:25:26,520 - Updated player: Id=999992, Name=Charlie Jones, Position=RB, Team=CIN
2024-02-16 20:25:26,644 - Updated player: Id=999992, Name=Charlie Jones, Position=RB, Team=CIN
2024-02-16 20:25:33,377 - Updated player: Id=999992, Name=Charlie Jones, Position=RB, Team=CIN
2024-02-16 20:25:40,093 - Updated player: Id=999992, Name=Charlie Jones, Position=RB, Team=CIN
2024-02-16 20:28:01,748 - Updated player: Id=999992, Name=Charlie Jones, Position=RB, Team=CIN
2024-02-16 20:28:06,898 - Updated player: Id=999992, Name=Charlie Jones, Position=RB, Team=CIN
2024-02-16 20:29:02,279 - Updated player: Id=999992, Name=Charlie Jones, Position=WR, Team=CIN
2024-02-16 20:29:38,874 - Updated player: Id=999992, Name=Charlie Jones, Position=RB, Team=CIN
2024-02-16 20:29:43,329 - Updated player: Id=999992, Name=Charlie Jones, Position=WR, Team=CIN
2024-02-16 20:40:47,899 - Add player: Id=, Name=, Position=Test, Team=WR
2024-02-16 20:41:46,894 - Add player: Id=, Name=Test, Position=WR, Team=CIN
2024-02-16 20:44:03,432 - Add player: Id=, Name=Test, Position=RB, Team=TB
2024-02-16 20:44:46,627 - Add player: Id=33, Name=Test33, Position=QB, Team=DET
2024-02-16 20:48:21,576 - Add player: Id=Test, Name=Test, Position=TEst, Team=test
2024-02-16 20:48:55,422 - Add player: Id=Caleb Williams, Name=QB, Position=FA, Team=
2024-02-16 20:52:56,229 - Add player: Id=, Name=Test, Position=Test, Team=Test
